seed,cell_id,class,model,nucleus_dice,cytoplasm_dice,foreground_dice,gt_nucleus_area,pred_nucleus_area,gt_cytoplasm_area,pred_cytoplasm_area,gt_nc,gt_circularity,nucleus_area_absolute_error,cytoplasm_area_absolute_error,pred_nc,nc_absolute_error,nc_relative_error,invalid_nc,pred_circularity,circularity_absolute_error,invalid_circularity,best_epoch,high_dice,high_nc_error,high_circularity_error
20260803,148497676-148497704-001,light_dysplastic,baseline,0.9763608761656908,0.8928368391131325,0.9345988576394116,2267,2344,7509,6563,0.3019043814089759,0.6398347308570745,77.0,946.0,0.3571537406673777,0.0552493592584018,0.183002234013041,False,0.7952673800483414,0.15543264919126687,False,11,True,False,False
20260803,148499274-148499302-001,light_dysplastic,baseline,0.9379860418743768,0.9166164213513034,0.9273012316128402,2529,2486,13429,14766,0.1883237769007372,0.6657502278352142,43.0,1337.0,0.16835974536096437,0.01996403153977283,0.10600852351093204,False,0.7269859237285954,0.06123569589338118,False,11,True,False,False
20260803,148499383-148499424-002,light_dysplastic,baseline,0.9334399360383769,0.8200979833656147,0.8767689597019959,2440,2563,10031,7523,0.24324593759346028,0.6783181650314228,123.0,2508.0,0.3406885550977004,0.09744261750424013,0.4005913433824866,False,0.7869384870747406,0.10862032204331773,False,11,False,False,False
20260803,148500154-148500165-001,light_dysplastic,baseline,0.7844387755102041,0.7764302339826045,0.7804345047464043,3734,5674,18917,13735,0.19738859227150182,0.7100987743205729,1940.0,5182.0,0.41310520567892245,0.21571661340742063,1.0928469476278704,False,0.612582244013201,0.09751653030737184,False,11,False,False,False
20260803,148503400-148503424-001,light_dysplastic,baseline,0.8773483628556092,0.8508035910858877,0.8640759769707484,3292,4160,19817,21062,0.16611999798153101,0.4763918584290513,868.0,1245.0,0.19751210711233502,0.03139210913080401,0.18897134927093392,False,0.5349611643408756,0.0585693059118243,False,11,False,False,False
20260803,148503900-148503914-001,light_dysplastic,baseline,0.9755631399317406,0.6757304020827307,0.8256467710072357,3735,3590,5950,4421,0.6277310924369748,0.8305136068540933,145.0,1529.0,0.812033476589007,0.18430238415203226,0.29360038521614457,False,0.824676326543463,0.005837280310630244,False,11,False,False,False
20260803,148719308-148719348-002,light_dysplastic,baseline,0.9808670380237345,0.8923777019340159,0.9366223699788752,2046,2083,4789,4001,0.4272290666109835,0.8505773892134673,37.0,788.0,0.5206198450387404,0.0933907784277569,0.21859598779782125,False,0.8365034804011445,0.014073908812322733,False,11,True,False,False
20260803,148881729-148881744-001,light_dysplastic,baseline,0.8270855904658722,0.8193820998072803,0.8232338451365762,5413,3817,39472,44069,0.13713518443453587,0.7994318713980407,1596.0,4597.0,0.08661417322834646,0.05052101120618942,0.36840029795568957,False,0.5436328051090636,0.2557990662889771,False,11,False,False,True
20260803,148884702-148884710-002,light_dysplastic,baseline,0.737546468401487,0.7998026250863515,0.7686745467439192,3968,6792,25800,24865,0.1537984496124031,0.7439455752042625,2824.0,935.0,0.2731550372008848,0.1193565875884817,0.7760534116947595,False,0.49279242783530225,0.2511531473689603,False,11,False,False,True
20260803,149014929-149015008-002,moderate_dysplastic,baseline,0.6383380547686497,0.4496021220159151,0.5439700883922824,2366,5047,5774,7798,0.4097679251818497,0.7786864630450933,2681.0,2024.0,0.6472172351885098,0.23744931000666014,0.5794712468772089,False,0.5813285620825253,0.197357900962568,False,11,False,False,True
